1,P
2,SF
3,P
4,P*
5,P
6,P
7,SF
8,P*
9,P
10,P
11,SF
12,P
13,F
14,SB
15,P*
16,F
17,P*
18,F
19,P
20,P*
21,P
22,P
23,P
24,P
25,F
26,P*
27,F
28,P
29,P
30,P
31,F
32,P*
33,SB
34,F
35,P
36,F
